movieId,title,genres,userId,rating,timestamp
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,18953,4.0,1351149752
2,Jumanji (1995),Adventure|Children|Fantasy,18477,3.5,1225334392
3,Grumpier Old Men (1995),Comedy|Romance,5870,2.0,947456213
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31411,3.0,848491029
5,Father of the Bride Part II (1995),Comedy,10373,4.0,860255784
6,Heat (1995),Action|Crime|Thriller,20154,4.5,1318451553
7,Sabrina (1995),Comedy|Romance,16736,3.0,862684253
8,Tom and Huck (1995),Adventure|Children,11422,1.0,935330964
9,Sudden Death (1995),Action,2431,4.0,850146557
10,GoldenEye (1995),Action|Adventure|Thriller,14928,3.0,838193968
11,"American President, The (1995)",Comedy|Drama|Romance,17382,5.0,859910592
12,Dracula: Dead and Loving It (1995),Comedy|Horror,18725,3.0,868816076
13,Balto (1995),Adventure|Animation|Children,5187,1.0,833930659
14,Nixon (1995),Drama,10373,3.0,860255866
15,Cutthroat Island (1995),Action|Adventure|Romance,29913,3.0,1047278587
16,Casino (1995),Crime|Drama,12952,3.0,1566162140
17,Sense and Sensibility (1995),Drama|Romance,16979,3.5,1133958294
18,Four Rooms (1995),Comedy,16736,3.0,862684470
19,Ace Ventura: When Nature Calls (1995),Comedy,205,3.0,832882961
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2627,3.0,833179098
21,Get Shorty (1995),Comedy|Crime|Thriller,6359,3.0,856945344
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,20198,4.0,840533232
23,Assassins (1995),Action|Crime|Thriller,16389,3.5,1295520756
24,Powder (1995),Drama|Sci-Fi,18725,3.0,868817452
25,Leaving Las Vegas (1995),Drama|Romance,11597,4.0,837452485
26,Othello (1995),Drama,24135,3.0,842130714
27,Now and Then (1995),Children|Drama,10373,5.0,860256159
28,Persuasion (1995),Drama|Romance,39786,3.0,836585062
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,12024,4.0,1085960196
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,6359,4.0,856780842
31,Dangerous Minds (1995),Drama,7105,3.5,1103568030
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1911,4.0,1129136676
33,Wings of Courage (1995),Adventure|Romance|IMAX,70092,IMAX 3-D,1306604835
34,Babe (1995),Children|Drama,15312,3.5,1198792492
